Code,Name,ListingDate,Shares,ListingBoard,Sector
ADMR,Adaro Minerals Indonesia Tbk.,2022-01-03,40882331500.0,Pengembangan,Energy
ADRO,Adaro Energy Indonesia Tbk.,2008-07-16,31985962000.0,Utama,Energy
AIMS,Akbar Indo Makmur Stimec Tbk,2001-07-20,220000000.0,Pengembangan,Energy
AKRA,AKR Corporindo Tbk.,1994-10-03,20073474600.0,Utama,Energy
APEX,Apexindo Pratama Duta Tbk.,2013-06-05,2796804997.0,Pengembangan,Energy
ARII,Atlas Resources Tbk.,2011-11-08,3431000000.0,Pengembangan,Energy
ARTI,Ratu Prabu Energi Tbk,2003-04-30,7840000000.0,Pengembangan,Energy
BBRM,Pelayaran Nasional Bina Buana ,2013-01-09,8479490328.0,Utama,Energy
BESS,Batulicin Nusantara Maritim Tb,2020-03-09,3433036457.0,Pengembangan,Energy
BIPI,Astrindo Nusantara Infrastrukt,2010-02-11,57918360917.0,Pengembangan,Energy
BOSS,Borneo Olah Sarana Sukses Tbk.,2018-02-15,1400000000.0,Pengembangan,Energy
BSML,Bintang Samudera Mandiri Lines,2021-12-16,1850225000.0,Pengembangan,Energy
BSSR,Baramulti Suksessarana Tbk.,2012-11-08,2616500000.0,Pengembangan,Energy
BULL,Buana Lintas Lautan Tbk.,2011-05-23,14117801449.0,Pengembangan,Energy
BUMI,Bumi Resources Tbk.,1990-07-30,343841242189.0,Pengembangan,Energy
BYAN,Bayan Resources Tbk.,2008-08-12,3333333500.0,Utama,Energy
CANI,Capitol Nusantara Indonesia Tb,2014-01-16,833440000.0,Pengembangan,Energy
CNKO,Exploitasi Energi Indonesia Tb,2001-11-20,8956361206.0,Pengembangan,Energy
COAL,Black Diamond Resources Tbk.,2022-09-07,6250000000.0,Pengembangan,Energy
DEWA,Darma Henwa Tbk,2007-09-26,21853733792.0,Utama,Energy
DOID,Delta Dunia Makmur Tbk.,2001-06-15,8621173232.0,Utama,Energy
DSSA,Dian Swastatika Sentosa Tbk,2009-12-10,770552320.0,Utama,Energy
DWGL,Dwi Guna Laksana Tbk.,2017-12-13,9246265791.0,Pengembangan,Energy
ELSA,Elnusa Tbk.,2008-02-06,7298500000.0,Utama,Energy
ENRG,Energi Mega Persada Tbk.,2004-06-07,24821230250.0,Pengembangan,Energy
ETWA,Eterindo Wahanatama Tbk,1997-05-16,4668671400.0,Pengembangan,Energy
FIRE,Alfa Energi Investama Tbk.,2017-06-09,1475363179.0,Pengembangan,Energy
GEMS,Golden Energy Mines Tbk.,2011-11-17,5882353000.0,Utama,Energy
GTBO,Garda Tujuh Buana Tbk,2009-07-09,2500000000.0,Pengembangan,Energy
GTSI,GTS Internasional Tbk.,2021-09-08,15819142767.0,Utama,Energy
HITS,Humpuss Intermoda Transportasi,1997-12-15,7101084801.0,Utama,Energy
HRUM,Harum Energy Tbk.,2010-10-06,13518100000.0,Utama,Energy
IATA,MNC Energy Investments Tbk.,2006-09-13,25238221508.0,Pengembangan,Energy
INDY,Indika Energy Tbk.,2008-06-11,5210192000.0,Utama,Energy
INPS,Indah Prakasa Sentosa Tbk.,2018-04-06,650000000.0,Pengembangan,Energy
ITMA,Sumber Energi Andalan Tbk.,1990-12-10,999053167.0,Pengembangan,Energy
ITMG,Indo Tambangraya Megah Tbk.,2007-12-18,1129925000.0,Utama,Energy
JSKY,Sky Energy Indonesia Tbk.,2018-03-28,2032540000.0,Utama,Energy
KKGI,Resource Alam Indonesia Tbk.,1991-07-01,5000000000.0,Utama,Energy
KOPI,Mitra Energi Persada Tbk.,2015-05-04,697266668.0,Pengembangan,Energy
LEAD,Logindo Samudramakmur Tbk.,2013-12-11,4049616328.0,UTAMA,Energy
MBAP,Mitrabara Adiperdana Tbk.,2014-07-10,1227271952.0,Pengembangan,Energy
MBSS,Mitrabahtera Segara Sejati Tbk,2011-04-06,1750026639.0,Utama,Energy
MCOL,Prima Andalan Mandiri Tbk.,2021-09-07,3555560000.0,Utama,Energy
MEDC,Medco Energi Internasional Tbk,1994-10-12,25136231252.0,Utama,Energy
MITI,Mitra Investindo Tbk.,1997-07-16,2442988366.0,Pengembangan,Energy
MTFN,Capitalinc Investment Tbk.,1990-04-16,31842082852.0,Pengembangan,Energy
MYOH,Samindo Resources Tbk.,2000-07-27,2206312500.0,Utama,Energy
PGAS,Perusahaan Gas Negara Tbk.,2003-12-15,24241508196.0,Utama,Energy
PKPK,Perdana Karya Perkasa Tbk,2007-07-11,600000000.0,Pengembangan,Energy
PSSI,Pelita Samudera Shipping Tbk.,2017-12-05,5417063153.0,Utama,Energy
PTBA,Bukit Asam Tbk.,2002-12-23,11520659250.0,Utama,Energy
PTIS,Indo Straits Tbk.,2011-07-12,550165300.0,Utama,Energy
PTRO,Petrosea Tbk.,1990-05-21,1008605000.0,Utama,Energy
RAJA,Rukun Raharja Tbk.,2006-04-19,4227082500.0,Utama,Energy
RIGS,Rig Tenders Indonesia Tbk.,1990-03-05,609130000.0,Pengembangan,Energy
RMKE,RMK Energy Tbk.,2021-12-07,4375000000.0,Utama,Energy
RUIS,Radiant Utama Interinsco Tbk.,2006-07-12,770000000.0,Pengembangan,Energy
SEMA,Semacom Integrated Tbk.,2022-01-10,1347102550.0,Pengembangan,Energy
SGER,Sumber Global Energy Tbk.,2020-08-10,3727301205.0,Pengembangan,Energy
SHIP,Sillo Maritime Perdana Tbk.,2016-06-16,2719790000.0,Utama,Energy
SICO,Sigma Energy Compressindo Tbk.,2022-04-08,910007058.0,Pengembangan,Energy
SMMT,Golden Eagle Energy Tbk.,1997-12-01,3150000000.0,Pengembangan,Energy
SMRU,SMR Utama Tbk.,2011-10-10,12499385782.0,Pengembangan,Energy
SOCI,Soechi Lines Tbk.,2014-12-03,7059000000.0,Utama,Energy
SUGI,Sugih Energy Tbk.,2002-06-19,24811541414.0,PENGEMBANGAN,Energy
SURE,Super Energy Tbk.,2018-10-05,1497576771.0,Pengembangan,Energy
TAMU,Pelayaran Tamarin Samudra Tbk.,2017-05-10,37500000000.0,Pengembangan,Energy
TCPI,Transcoal Pacific Tbk.,2018-07-06,5000000000.0,Pengembangan,Energy
TEBE,Dana Brata Luhur Tbk.,2019-11-18,1285000000.0,Utama,Energy
TOBA,TBS Energi Utama Tbk.,2012-07-06,8049964000.0,Utama,Energy
TPMA,Trans Power Marine Tbk.,2013-02-20,2633300000.0,Pengembangan,Energy
TRAM,Trada Alam Minera Tbk.,2008-09-10,49643627934.0,Pengembangan,Energy
UNIQ,Ulima Nitra Tbk.,2021-03-08,3138983000.0,Utama,Energy
WINS,Wintermar Offshore Marine Tbk.,2010-11-29,4357837057.0,Utama,Energy
WOWS,Ginting Jaya Energi Tbk.,2019-11-08,2475720000.0,Pengembangan,Energy
